"","SITESTN","start","stop","duration","STOC_ANY_N","STOC_4N_N","STOC_IRREG_N","STOC_BARK_N","STOC_WHIS_N","STOC_BEG_N","STOC_PAIR_N","FEMALE_N","MALE_N","UNK_N","JUV_N","reproState","Distance","XNAD83FP","YNAD83FP","dist_intended"
"96","UG_22",2021-04-28,2021-08-16,110,13,13,0,0,0,0,0,0,13,0,0,"fledged",3112.004017,450938,4892321,3000
"97","UG_23",2021-04-27,2021-08-19,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2645.488235,445334,4891438,2646
"98","UG_24",2021-04-27,2021-08-19,114,8,3,5,0,0,0,0,0,8,0,0,"fledged",1727.270969,446335,4891454,1732
"99","UG_25",2021-04-27,2021-08-19,114,103,101,1,1,0,0,0,0,102,1,0,"fledged",967.033091,447378,4891469,1000
"100","UG_26",2021-04-27,2021-08-17,112,503,328,145,45,21,0,51,125,377,52,0,"fledged",983.56952,448326,4891479,1000
"101","UG_27",2021-04-28,2021-08-18,112,137,112,16,10,1,0,5,10,121,11,0,"fledged",1770.753512,449358,4891438,1732
"102","UG_28",2021-04-28,2021-08-16,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2643.491063,450325,4891464,2646
"103","UG_29",2021-04-27,2021-08-16,111,2,2,0,0,0,0,0,0,2,0,0,"fledged",2639.974621,445831,4890597,2646
"104","UG_30",2021-04-27,2021-06-18,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1998.075574,446835,4890591,2000
"105","UG_31",2021-04-27,2021-08-16,111,54,50,4,0,0,0,0,0,54,0,0,"fledged",1733.004616,447830,4890593,1732
"106","UG_32",2021-04-27,2021-08-16,111,45,37,9,0,0,0,0,8,37,0,0,"fledged",1959.887752,448832,4890644,2000
"107","UG_33",2021-04-28,2021-08-16,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2640.478176,449832,4890609,2646
"108","UG_34",2021-04-27,2021-08-16,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2958.013692,446332,4889773,3000
"109","UG_35",2021-04-27,2021-08-16,111,4,4,0,0,0,0,0,0,4,0,0,"fledged",2640.671506,447337,4889731,2646
"110","UG_36",2021-04-27,2021-08-10,105,22,21,0,0,1,0,0,0,21,1,0,"fledged",2572.267871,448337,4889805,2646
"111","UG_37",2021-04-27,2021-08-16,111,9,9,0,0,0,0,0,0,9,0,0,"fledged",3003.579531,449335,4889729,3000
